city_ascii,province_id,lat,lng,postal
Toronto,ON,43.7417,-79.3733,M5T M5V M5P M5S M5R M5E M5G M5A M5C M5B M5M M5N M5H M5J M4X M4Y M4R M4S M4P M4V M4W M4T M4J M4K M4H M4N M4L M4M M4B M4C M4A M4G M4E M3N M3M M3L M3K M3J M3H M3C M3B M3A M2P M2R M2L M2M M2N M2H M2J M2K M1C M1B M1E M1G M1H M1K M1J M1M M1L M1N M1P M1S M1R M1T M1W M1V M1X M9P M9R M9W M9V M9M M9L M9N M9A M9C M9B M6P M6R M6S M6A M6B M6C M6E M6G M6H M6J M6K M6L M6M M6N M8Z M8X M8Y M8V M8W
Montreal,QC,45.5089,-73.5617,H1X H1Y H1Z H1P H1R H1S H1T H1V H1W H1H H1J H1K H1L H1M H1N H1A H1B H1C H1E H1G H2Y H2X H2Z H2T H2W H2V H2P H2S H2R H2M H2L H2N H2H H2K H2J H2E H2G H2A H2C H2B H3B H3C H3A H3G H3E H3J H3K H3H H3N H3L H3M H3R H3S H3V H3W H3T H3X H4G H4E H4C H4B H4A H4N H4M H4L H4K H4J H4H H4V H4T H4S H4R H4P H8N H8S H8R H8P H8T H8Z H8Y H9A H9E H9H H9J H9K H9C
Vancouver,BC,49.25,-123.1,V6Z V6S V6R V6P V6N V6M V6L V6K V6J V6H V6G V6E V6C V6B V6A V5M V5K V5S V5P V5Z V5N V5L V5V V5W V5T V5R V5X V5Y
Calgary,AB,51.05,-114.0667,T1Y T2H T2K T2J T2M T2L T2N T2A T2C T2B T2E T2G T2Y T2X T2Z T2S T2R T2T T2W T2V T3N T3L T3M T3J T3K T3H T3G T3E T3B T3C T3A T3R T3S T3P
Edmonton,AB,53.5344,-113.4903,T5X T5Y T5Z T5P T5R T5S T5T T5V T5W T5H T5J T5K T5L T5M T5N T5A T5B T5C T5E T5G T6Y T6X T6T T6W T6V T6P T6S T6R T6M T6L T6N T6H T6K T6J T6E T6G T6A T6C T6B
Ottawa,ON,45.4247,-75.695,K4P K4M K4A K4B K4C K7S K1S K1R K1P K1W K1V K1T K1Z K1Y K1X K1C K1B K1A K1G K1E K1K K1J K1H K1N K1M K1L K0A K2R K2S K2P K2V K2W K2T K2J K2K K2H K2L K2M K2B K2C K2A K2G K2E
Winnipeg,MB,49.8844,-97.1464,R2N R2M R2L R2K R2J R2H R2G R2C R2Y R2X R2W R2V R2R R2P R3L R3M R3N R3H R3J R3K R3E R3G R3A R3B R3X R3Y R3T R3V R3W R3P R3R R3S
Quebec City,QC,46.8139,-71.2081,G3J G1N G1M G1L G1K G1J G1H G1G G1E G1C G1B G1Y G1X G1W G1V G1T G1S G1R G1P G3E G3G G3K G2G G2E G2B G2C G2A G2N G2L G2M G2J G2K
Hamilton,ON,43.2567,-79.8692,L0R L0P L8W L8V L8T L8S L8R L8P L8G L8E L8B L8N L8M L8L L8K L8J L8H L9G L9A L9B L9C L9H L9K N1R
Mississauga,ON,43.6,-79.65,L4W L4V L4T L4Z L4Y L4X L5R L5S L5T L5V L5W L5A L5B L5C L5E L5G L5H L5J L5K L5L L5M L5N
Brampton,ON,43.6833,-79.7667,L7A L6T L6W L6V L6P L6S L6R L6Y L6X L6Z
Surrey,BC,49.19,-122.8489,V4A V4N V4P V3R V3S V3W V3T V3V V3X V3Z
Kitchener,ON,43.4186,-80.4728,N2K N2H N2N N2M N2C N2B N2A N2G N2E N2R N2P
Halifax,NS,44.6475,-63.5906,B2Z B2Y B2X B2W B2V B2T B2S B2R B3Z B3T B3V B3P B3R B3S B3L B3M B3N B3H B3J B3K B3E B3G B3A B3B B0J B0N B4E B4G B4A B4C B4B
Laval,QC,45.5833,-73.75,H7N H7L H7M H7J H7K H7H H7G H7E H7B H7C H7A H7X H7Y H7V H7W H7T H7R H7S H7P
London,ON,42.9836,-81.2497,N5Z N5X N5Y N5V N5W N6P N6G N6E N6C N6B N6A N6N N6M N6L N6K N6H N6J
Victoria,BC,48.4283,-123.3647,V9A V8T V8W V8V V8S V8R
Markham,ON,43.8767,-79.2633,L3T L3R L3P L3S L6E L6G L6C L6B
Oshawa,ON,43.9,-78.85,L1L L1H L1J L1K L1G
Vaughan,ON,43.8333,-79.5,L0J L3L L4K L4J L4H L4L L6A
Windsor,ON,42.2833,-83.0,N8T N8W N8P N8S N8R N8Y N8X N9J N9B N9C N9A N9G N9E N0R
Gatineau,QC,45.4833,-75.65,J8P J8R J8T J8Y J8X J8Z J8M J9J J9H J9A
Saskatoon,SK,52.1333,-106.6833,S7H S7K S7J S7M S7L S7N S7S S7R S7W S7V
Longueuil,QC,45.5333,-73.5167,J4T J4V J4P J4R J4M J4L J4N J4H J4K J4J J4G J3Y J3Z
Burnaby,BC,49.2667,-122.9667,V5H V5G V5E V5B V5C V5J V5A V3J V3N
St. Catharines,ON,43.1833,-79.2333,L2M L2N L2P L2S L2R L2T L2W
